w,d,ts
0.01,0.0,586.1125691257572
0.010974987654930561,0.0,534.0439438785551
0.012045035402587823,0.0,486.60095179116985
0.013219411484660286,0.0,443.3726715953835
0.014508287784959394,0.0,403.98465884676926
0.015922827933410922,0.0,368.09577518319793
0.01747528400007684,0.0,335.39516103039
0.019179102616724886,0.0,305.5995834655907
0.02104904144512021,0.0,278.4509549538824
0.023101297000831605,0.0,253.71413955876938
0.025353644939701114,0.0,231.17487466583836
0.027825594022071243,0.0,210.63793594517801
0.030538555088334154,0.0,191.92544225828632
0.033516026509388425,0.0,174.87531493674427
0.03678379771828634,0.0,159.33987393432807
0.040370172585965536,0.0,145.18455869309705
0.04430621457583882,0.0,132.28676264421324
0.04862601580065353,0.0,120.53477124849694
0.0533669923120631,0.0,109.82679437853048
0.05857020818056667,0.0,100.07008575162759
0.06428073117284322,0.0,91.18013414467397
0.07054802310718646,0.0,83.07994233024114
0.0774263682681127,0.0,75.69935025659998
0.08497534359086446,0.0,68.9744276819575
0.093260334688322,0.0,62.846930411216015
0.10235310218990264,0.0,57.2637816134095
0.11233240329780277,0.0,52.17662590296955
0.12328467394420665,0.0,47.541397513125325
0.13530477745798075,0.0,43.31795078764133
0.1484968262254465,0.0,39.46970342894242
0.16297508346206444,0.0,35.963324236935414
0.1788649529057435,0.0,32.76844119566682
0.19630406500402714,0.0,29.857383553656586
0.21544346900318845,0.0,27.204935560942104
0.23644894126454083,0.0,24.78812444575601
0.25950242113997374,0.0,22.586015442592426
0.2848035868435802,0.0,20.57953608033953
0.3125715849688237,0.0,18.751306814540314
0.3430469286314919,0.0,17.085492397903707
0.37649358067924693,0.0,15.567664342864182
0.41320124001153385,0.0,14.184675948924953
0.4534878508128584,0.0,12.924548432227551
0.49770235643321115,0.0,11.776367346943653
0.5462277217684343,0.0,10.730187168607886
0.5994842503189411,0.0,9.776947048329031
0.6579332246575682,0.0,8.908390017479423
0.7220809018385468,0.0,8.116993194154078
0.7924828983539177,0.0,7.395901796028447
0.8697490026177834,0.0,6.738870340936072
0.9545484566618342,0.0,6.140207603241644
1.047615752789665,0.0,5.594728482890937
1.149756995397737,0.0,5.09770829537556
1.261856883066021,0.0,4.6448418754244045
1.384886371393873,0.0,4.232206924932341
1.5199110829529348,0.0,3.856229326172408
1.668100537200059,0.0,3.513652541048629
1.8307382802953698,0.0,3.201509383294314
2.0092330025650478,0.0,2.9170960678901254
2.2051307399030455,0.0,2.6579492930724244
2.4201282647943834,0.0,2.4218244034910845
2.656087782946687,0.0,2.206676198312688
2.9150530628251787,0.0,2.0106412026801945
3.1992671377973845,0.0,1.8320213470178706
3.5111917342151346,0.0,1.6692696198112127
3.8535285937105312,0.0,1.52097630748704
4.229242874389499,0.0,1.3858569643162522
4.641588833612782,0.0,1.2627412511882408
5.09413801481638,0.0,1.1505628141072792
5.590810182512229,0.0,1.0483499707414277
6.135907273413176,0.0,0.9552174604084276
6.7341506577508286,0.0,0.8703585632601745
7.390722033525782,0.0,0.7930383160161174
8.111308307896872,0.0,0.7225869697927022
8.902150854450392,0.0,0.658394334929458
9.770099572992256,0.0,0.5999043968251494
10.722672220103242,0.0,0.5466105436170032
11.768119524349991,0.0,0.4980511694438546
12.91549665014884,0.0,0.45380567623700524
14.174741629268063,0.0,0.4134908353467842
15.556761439304722,0.0,0.3767574449299727
17.07352647470692,0.0,0.3432873568665938
18.73817422860385,0.0,0.3127906497053781
20.565123083486537,0.0,0.28500319047270667
22.570197196339215,0.0,0.2596842925328193
24.770763559917114,0.0,0.23661465858412165
27.185882427329428,0.0,0.21559446533727336
29.8364724028334,0.0,0.19644164618925308
32.745491628777316,0.0,0.1789903124390974
35.938136638046295,0.0,0.16308930399726476
39.4420605943766,0.0,0.14860089972310456
43.287612810830616,0.0,0.1353996053529454
47.50810162102798,0.0,0.12337107759033938
52.140082879996896,0.0,0.11241113108215144
57.2236765935022,0.0,0.10242483715977796
62.802914418342596,0.0,0.09332569587798833
68.92612104349702,0.0,0.0850348994952611
75.64633275546291,0.0,0.07748063227604779
83.02175681319753,0.0,0.07059746777849163
91.11627561154896,0.0,0.06432578210554818
100.0,0.0,0.0586112569125757
0.01,10.1010101010101,397.7192433353352
0.010974987654930561,10.1010101010101,362.38696191759084
0.012045035402587823,10.1010101010101,330.193503001151
0.013219411484660286,10.1010101010101,300.8600222459568
0.014508287784959394,10.1010101010101,274.1324470745934
0.015922827933410922,10.1010101010101,249.77927601717002
0.01747528400007684,10.1010101010101,227.58957355633618
0.019179102616724886,10.1010101010101,207.3711431047401
0.02104904144512021,10.1010101010101,188.94886229013443
0.023101297000831605,10.1010101010101,172.16316612916495
0.025353644939701114,10.1010101010101,156.86866495181886
0.027825594022071243,10.1010101010101,142.93288510565654
0.030538555088334154,10.1010101010101,130.23512153240853
0.033516026509388425,10.1010101010101,118.66539227850504
0.03678379771828634,10.1010101010101,108.12348588400837
0.040370172585965536,10.1010101010101,98.51809339888726
0.04430621457583882,10.1010101010101,89.76601750857327
0.04862601580065353,10.1010101010101,81.79145191862291
0.0533669923120631,10.1010101010101,74.52532475685997
0.05857020818056667,10.1010101010101,67.90470030586239
0.06428073117284322,10.1010101010101,61.872233883885905
0.07054802310718646,10.1010101010101,56.37567515266363
0.0774263682681127,10.1010101010101,51.36741554997254
0.08497534359086446,10.1010101010101,46.804075927042575
0.093260334688322,10.1010101010101,42.646130819122746
0.10235310218990264,10.1010101010101,38.85756609481359
0.11233240329780277,10.1010101010101,35.40556701889014
0.12328467394420665,10.1010101010101,32.260234026763605
